30893,225,3
P-365,U5,0,0,0,95,88,110
P-165,U5,95,0,0,191,93,103
P-346,U5,0,0,110,95,83,220
P-394,U5,95,0,103,185,81,212
P-105,U5,0,88,0,95,168,103
P-211,U5,95,93,0,190,174,96
P-274,U5,0,88,103,88,163,213
P-356,U5,95,93,96,190,170,195
P-297,U5,0,174,0,101,242,103
P-134,U5,101,174,0,189,254,97
P-300,U5,0,242,0,97,311,101
P-283,U5,0,242,101,97,308,201
P-41,U5,0,174,103,90,242,207
P-145,U5,101,174,97,180,249,203
P-133,U5,97,254,0,188,317,109
P-277,U5,189,174,0,243,279,108
P-142,U5,95,93,195,187,167,278
P-73,U5,97,254,109,183,317,213
P-282,U5,189,174,108,243,266,215
P-252,U5,191,0,0,239,95,110
P-273,U5,95,0,212,180,79,283
P-9,U5,0,88,213,88,161,284
P-82,U5,0,242,201,97,308,272
P-219,U5,0,0,220,94,76,281
P-217,U5,101,174,203,175,246,281
P-124,U5,190,95,0,244,167,104
P-284,U5,190,95,104,242,165,214
P-212,U5,191,0,110,239,74,215
P-187,U5,0,174,207,84,228,285
P-350,U5,97,254,213,182,314,282
P-188,U5,189,174,215,240,260,266
P-215,U6,0,0,0,87,80,89
P-333,U6,0,0,89,85,72,189
P-139,U6,87,0,0,171,75,96
P-255,U6,87,75,0,183,139,98
P-299,U6,0,80,0,83,160,87
P-129,U6,87,75,98,172,134,208
P-36,U6,0,80,87,80,158,173
P-45,U6,0,0,189,81,72,280
P-125,U6,83,139,0,168,207,91
P-10,U6,0,207,0,85,277,88
P-20,U6,85,207,0,173,263,106
P-168,U6,173,139,0,241,226,88
P-319,U6,85,263,0,186,311,102
P-50,U6,0,80,173,73,144,277
P-285,U6,85,207,106,166,261,214
P-2,U6,83,139,91,164,195,190
P-106,U6,186,226,0,240,316,92
P-264,U6,173,139,88,241,199,196
P-94,U6,0,207,88,67,273,186
P-183,U6,87,0,96,159,57,201
P-6,U6,183,0,0,239,84,91
P-157,U6,186,226,92,240,314,180
P-366,U6,183,0,91,239,71,196
P-329,U6,0,207,186,65,265,280
P-238,U6,186,226,180,236,295,282
P-103,U6,85,263,102,163,307,204
P-68,U6,83,139,190,164,185,282
P-109,U6,0,160,0,79,204,98
P-180,U6,87,75,208,167,134,279
P-126,U6,173,139,196,237,199,281
P-304,U6,183,0,196,234,68,285
P-17,U6,87,0,201,150,57,284
P-280,U6,183,84,0,244,137,90
P-266,U6,183,84,90,244,137,178
P-42,U6,0,160,98,62,201,207
P-49,U6,0,277,0,69,317,100
P-71,U6,183,84,178,243,127,277
P-320,U6,85,207,214,142,260,278
P-86,U6,85,263,204,148,304,269
P-272,U6,0,277,100,64,317,175
P-324,U6,0,160,207,40,201,275
P-385,U6,0,277,175,64,317,223
P-357,U6,0,277,223,56,317,281
P-46,U3,0,0,0,71,62,94
P-224,U3,0,0,94,68,56,193
P-295,U3,71,0,0,140,49,109
